EEG,alpha,beta,delta,theta
-2.44751,-1.4772,2.19375,0.666025,-0.0594308
-3.60108,-1.45539,2.83838,0.624447,0.102729
-6.03638,-1.30805,1.9995,0.583034,0.264397
-7.79419,-1.058,-0.0380877,0.542319,0.422072
-8.02613,-0.736602,-2.2353,0.502804,0.572241
-7.91016,-0.379614,-3.40912,0.464951,0.7114
-7.55616,-0.0227843,-2.93443,0.429179,0.836081
-5.97535,0.302068,-1.0969,0.395848,0.942876
-3.09448,0.570131,1.1036,0.365266,1.02849
-0.799561,0.765546,2.54952,0.337676,1.08981
-0.88501,0.882085,2.62205,0.31326,1.12403
-2.86865,0.922534,1.48165,0.292132,1.12875
-4.11988,0.896902,-0.109998,0.274343,1.10213
-4.46167,0.819802,-1.27247,0.259875,1.04308
-2.50244,0.707505,-1.49004,0.248646,0.95141
-2.23389,0.575186,-0.834513,0.240508,0.827941
-1.88599,0.434809,0.155359,0.235254,0.674632
-2.96631,0.293971,0.826578,0.232621,0.494616
-3.78418,0.155782,0.781163,0.232297,0.292189
-5.16358,0.0197149,0.0696577,0.233929,0.0727396
-6.7566,-0.116813,-0.868688,0.23713,-0.157385
-8.74024,-0.256409,-1.46258,0.241485,-0.391044
-9.49097,-0.399627,-1.3174,0.246554,-0.620512
-8.63648,-0.543283,-0.41979,0.251878,-0.83773
-6.87256,-0.679562,0.857201,0.256991,-1.03461
-5.2063,-0.796175,1.94168,0.261429,-1.20335
-5.49927,-0.87762,2.34135,0.264739,-1.33681
-7.2876,-0.907402,1.86875,0.266491,-1.42876
-8.74634,-0.87089,0.704524,0.266284,-1.47426
-9.12476,-0.758323,-0.716808,0.263756,-1.46992
-9.91212,-0.567459,-1.91704,0.258586,-1.4142
-11.3831,-0.305364,-2.55773,0.250508,-1.30755
-12.3718,0.0110264,-2.5128,0.239312,-1.15247
-11.0413,0.355756,-1.83272,0.224854,-0.95344
-7.92237,0.696099,-0.67159,0.20706,-0.716802
-5.56031,0.996038,0.750062,0.185928,-0.450573
-3.31421,1.22058,2.13573,0.161525,-0.164177
-0.738526,1.34034,3.11295,0.133988,0.131903
0.872803,1.33578,3.30907,0.103521,0.426539
1.20239,1.20036,2.50819,0.0704001,0.708432
-0.76294,0.942157,0.811187,0.0349687,0.966588
-3.88184,0.583694,-1.31512,-0.00236447,1.19082
-7.61109,0.159865,-3.16546,-0.0411324,1.37221
-10.73,-0.285811,-4.06326,-0.0808167,1.50358
-11.2671,-0.706244,-3.64255,-0.120854,1.57977
-8.38624,-1.05647,-2.00771,-0.16064,1.5979
-5.42603,-1.29914,0.298597,-0.199544,1.55749
-4.5044,-1.4091,2.49239,-0.236909,1.46049
-4.90113,-1.37638,3.8208,-0.272069,1.31122
-5.10865,-1.20732,3.81511,-0.304356,1.11612
-4.98658,-0.923617,2.45864,-0.333109,0.883484
-6.34156,-0.559522,0.227016,-0.357681,0.623043
-8.82569,-0.157339,-2.03271,-0.377451,0.345546
-10.6384,0.237985,-3.39252,-0.391829,0.0622755
-10.2234,0.584507,-3.23985,-0.400265,-0.215479
-7.87354,0.848379,-1.61642,-0.40226,-0.476936
-5.15747,1.00765,0.708903,-0.397379,-0.7123
-3.17383,1.05431,2.55423,-0.385258,-0.91317
-3.71094,0.994342,2.93054,-0.365607,-1.07287
-6.2439,0.845879,1.62375,-0.338218,-1.18672
-9.73511,0.635822,-0.618765,-0.302963,-1.25221
-11.8225,0.395483,-2.4747,-0.259801,-1.26907
-10.6384,0.155895,-2.82575,-0.20878,-1.23921
-6.62232,-0.0565244,-1.4601,-0.150039,-1.16654
-3.10669,-0.223285,0.769249,-0.0838054,-1.05662
-3.09448,-0.335657,2.46941,-0.0103924,-0.916354
-5.31006,-0.394759,2.59994,0.0698005,-0.753597
-7.64161,-0.409984,1.14922,0.156291,-0.576734
-8.40455,-0.396114,-0.865549,0.248517,-0.394244
-8.29468,-0.369709,-2.08624,0.34585,-0.214273
-6.60401,-0.345453,-1.72959,0.447595,-0.0442372
-4.38843,-0.333069,-0.108225,0.553005,0.109521
-2.09351,-0.335354,1.59688,0.661286,0.242026
-2.63062,-0.347633,2.15065,0.771611,0.34985
-6.29273,-0.358783,1.10229,0.883127,0.431175
-10.5103,-0.353647,-0.919656,0.994964,0.485755
-11.8652,-0.31646,-2.63648,1.10625,0.514818
-8.81959,-0.234619,-2.95753,1.21612,0.520912
-4.65088,-0.102102,-1.65539,1.32371,0.507672
-1.64795,0.0781241,0.54635,1.42822,0.479511
-1.06201,0.293151,2.47514,1.52885,0.441257
-1.83716,0.520887,3.22056,1.62487,0.397777
-0.994874,0.732481,2.58756,1.71558,0.353642
0.012207,0.896157,1.06023,1.80038,0.312856
0.201416,0.981958,-0.602087,1.8787,0.278649
-1.34888,0.966754,-1.80433,1.95009,0.253317
-4.30298,0.838691,-2.31586,2.01414,0.238087
