EEG,alpha,beta,delta,theta
-0.585938,0.0714629,1.43468,0.811806,-0.585507
-0.32959,0.475825,-0.0485513,0.950164,-0.581001
1.27564,0.83129,-1.12413,1.0818,-0.542642
3.92456,1.10528,-1.16584,1.20535,-0.473327
6.78711,1.27444,-0.249247,1.31954,-0.377449
8.36182,1.32695,0.949702,1.42321,-0.260645
7.50733,1.26332,1.61133,1.51534,-0.129507
5.45655,1.09562,1.27175,1.59503,0.00875214
3.69263,0.845422,0.0655104,1.66151,0.146662
3.50952,0.540645,-1.39153,1.71419,0.276877
3.44849,0.21196,-2.3583,1.75261,0.392552
2.52075,-0.110875,-2.33912,1.77647,0.487682
1.67847,-0.402161,-1.29303,1.78563,0.557403
1.86157,-0.642539,0.370375,1.78014,0.598214
4.38843,-0.820124,1.96558,1.76019,0.608123
6.48804,-0.930414,2.80172,1.72616,0.586714
6.22559,-0.975115,2.47149,1.67855,0.535135
2.51465,-0.960251,1.06429,1.61806,0.456013
-1.26343,-0.894018,-0.808586,1.5455,0.353296
-2.6062,-0.784871,-2.24971,1.46181,0.232029
-1.40991,-0.640192,-2.51755,1.36807,0.0980785
0.799561,-0.465737,-1.461,1.26545,-0.0421904
3.00293,-0.265944,0.331529,1.15519,-0.182253
3.36304,-0.0450027,1.82044,1.03863,-0.315761
2.55737,0.191575,2.11959,0.917161,-0.436851
0.231934,0.435351,1.05522,0.7922,-0.540401
-1.09253,0.673817,-0.698975,0.665183,-0.622252
-1.45264,0.890113,-2.03257,0.537544,-0.679376
-0.22583,1.06386,-2.10759,0.410695,-0.710003
1.51978,1.17313,-0.898158,0.286011,-0.713658
4.55933,1.19741,0.806914,0.16481,-0.691148
5.40772,1.12105,1.94092,0.0483351,-0.644471
3.71094,0.936748,1.86463,-0.0622571,-0.576664
0.396729,0.648426,0.757744,-0.165906,-0.491595
-1.35498,0.272873,-0.55614,-0.26166,-0.393703
-0.00610352,-0.16031,-1.20204,-0.34869,-0.287725
2.10571,-0.61072,-0.836205,-0.426306,-0.178421
2.83203,-1.03108,0.172223,-0.493961,-0.0703191
1.3794,-1.3727,1.04555,-0.551259,0.0325008
0.0183106,-1.59173,1.13656,-0.597954,0.126587
-1.92261,-1.65537,0.324723,-0.633957,0.209231
-3.65601,-1.54704,-0.960127,-0.65933,0.278528
-4.98047,-1.26972,-2.03653,-0.674287,0.333397
-3.52173,-0.846925,-2.3503,-0.679188,0.37357
-0.750733,-0.320907,-1.70542,-0.674526,0.399559
1.84326,0.251688,-0.282082,-0.66092,0.412561
3.02735,0.80641,1.47311,-0.639108,0.414313
5.10254,1.27889,2.97859,-0.609937,0.406898
8.65479,1.61304,3.64918,-0.574346,0.392564
10.26,1.7684,3.07239,-0.533353,0.373568
8.43506,1.72564,1.23217,-0.488037,0.352061
3.44849,1.48944,-1.33504,-0.439526,0.329978
-1.53198,1.08815,-3.62746,-0.388985,0.308919
-4.36402,0.57039,-4.58205,-0.337591,0.290038
-2.33154,-0.00105396,-3.64207,-0.286524,0.273978
2.11182,-0.557283,-1.15075,-0.236948,0.260863
5.88379,-1.03216,1.73102,-0.189994,0.250322
5.71289,-1.37082,3.6097,-0.146745,0.241543
1.97754,-1.53663,3.63021,-0.108221,0.233359
-1.22681,-1.5156,1.95658,-0.0753586,0.224354
-1.61133,-1.31768,-0.352551,-0.0490047,0.212993
0.616455,-0.97479,-2.00071,-0.0299054,0.197748
3.08228,-0.535912,-2.21985,-0.0186967,0.177243
4.40064,-0.0601186,-1.15947,-0.0158936,0.150379
3.6499,0.391584,0.322666,-0.0218813,0.116406
2.46582,0.764369,1.28345,-0.036908,0.0749602
2.37427,1.01658,1.2861,-0.0610828,0.0260832
3.10059,1.12464,0.576709,-0.0943785,-0.0297443
3.9856,1.08527,-0.217922,-0.136636,-0.0915988
3.05786,0.914801,-0.597949,-0.187568,-0.158155
0.909424,0.645816,-0.51753,-0.246762,-0.22776
-1.86157,0.321604,-0.318672,-0.313681,-0.298507
-2.92969,-0.0105406,-0.370055,-0.387668,-0.368303
-2.85034,-0.306178,-0.719476,-0.467962,-0.434952
-2.23999,-0.529724,-1.03334,-0.553705,-0.496256
-2.16065,-0.658789,-0.861183,-0.643955,-0.550116
-3.08838,-0.686311,-0.0153661,-0.737699,-0.594619
-2.31323,-0.620251,1.22349,-0.833868,-0.628104
1.13525,-0.481026,2.23135,-0.931339,-0.649211
2.92359,-0.297287,2.41417,-1.02896,-0.656905
1.94092,-0.100813,1.5793,-1.12557,-0.650495
-2.36206,0.078635,0.0643749,-1.21999,-0.629636
-5.40772,0.217683,-1.44882,-1.31108,-0.594327
-4.66919,0.302302,-2.30823,-1.39771,-0.544886
-3.13111,0.329004,-2.22386,-1.47881,-0.481923
-2.29492,0.304211,-1.37662,-1.55338,-0.406317
-2.99683,0.242017,-0.268508,-1.62046,-0.319193
-4.37622,0.160786,0.575367,-1.67921,-0.221899
-4.44947,0.0792653,0.877681,-1.72883,-0.115994
-3.06397,0.0129826,0.713614,-1.76868,-0.00322476
-1.53809,-0.02844,0.411289,-1.79817,0.11448
-0.500489,-0.0426144,0.317674,-1.81686,0.235013
0.140381,-0.0341872,0.565816,-1.82441,0.356089
0.317383,-0.0132295,0.977479,-1.82059,0.475256
1.34888,0.00740772,1.16509,-1.80532,0.589921
1.10474,0.015234,0.786276,-1.7786,0.69737
0.00610352,0.00116051,-0.194208,-1.74059,0.794775
-1.94092,-0.038151,-1.40592,-1.69154,0.87922
-3.38745,-0.0991072,-2.22873,-1.63184,0.947773
-3.05176,-0.171445,-2.14165,-1.56197,0.997582
-1.67847,-0.239938,-1.06499,-1.48252,1.02601
0.32959,-0.287266,0.528347,-1.39417,1.03074
2.06299,-0.297506,1.83394,-1.29766,1.00996
2.91748,-0.259577,2.16401,-1.19383,0.962417
1.54419,-0.169999,1.35846,-1.08358,0.887576
-1.02539,-0.0344327,-0.103199,-0.967851,0.785646
-2.26441,0.132284,-1.37343,-0.847623,0.657671
-0.769043,0.307733,-1.73255,-0.723901,0.505606
1.74561,0.464983,-1.00316,-0.597707,0.33237
3.82691,0.576727,0.368747,-0.470071,0.141869
3.61939,0.619831,1.60071,-0.342015,-0.0610463
3.01514,0.579518,2.03111,-0.214545,-0.270669
1.45874,0.45249,1.46025,-0.0886341,-0.480599
-1.16577,0.24843,0.192875,0.034785,-0.683973
-3.66211,-0.0104294,-1.19047,0.154823,-0.873733
-4.95606,-0.291727,-2.14663,0.270641,-1.0429
-5.38941,-0.557154,-2.37504,0.381453,-1.18482
-5.2063,-0.76784,-1.84751,0.486532,-1.29349
-5.0232,-0.890134,-0.732502,0.58522,-1.36381
-4.01001,-0.900911,0.676965,0.676942,-1.39191
-1.53809,-0.791535,1.99362,0.761207,-1.37537
1.86157,-0.56985,2.7807,0.837616,-1.3134
3.38745,-0.25983,2.6815,0.905852,-1.20697
3.03345,0.101109,1.61534,0.965685,-1.05885
0.231934,0.466809,-0.0886738,1.01696,-0.873601
-1.78223,0.788441,-1.76441,1.05958,-0.657355
-1.5686,1.02115,-2.71035,1.09354,-0.417663
-0.366211,1.13036,-2.56396,1.1189,-0.163185
0.531006,1.09688,-1.50345,1.13578,0.0966567
0.842286,0.919957,-0.124764,1.14436,0.352061
0.97046,0.61793,0.934757,1.14488,0.59325
1.01929,0.226236,1.3671,1.13763,0.810877
0.335694,-0.206925,1.30047,1.12295,0.99641
-0.238037,-0.626712,1.08399,1.1012,1.14252
0.500489,-0.978768,0.940015,1.07278,1.24345
2.17896,-1.21635,0.774426,1.03813,1.29532
1.98364,-1.30653,0.303751,0.997709,1.29634
-1.00098,-1.23471,-0.605788,0.951995,1.24688
-5.01709,-1.00664,-1.67982,0.901482,1.14946
-6.13404,-0.64793,-2.30633,0.846671,1.00858
-2.75269,-0.20092,-1.93185,0.788063,0.830598
1.94092,0.280576,-0.51012,0.726155,0.623459
4.20532,0.737923,1.34402,0.661435,0.396388
3.51563,1.11488,2.6522,0.594372,0.159484
1.3855,1.36445,2.65609,0.525421,-0.0767538
-1.24512,1.45466,1.30484,0.455015,-0.301923
-1.85547,1.37242,-0.684943,0.383566,-0.506203
-3.24707,1.12526,-2.24375,0.311464,-0.680797
-2.90528,0.74044,-2.57098,0.239079,-0.818325
-3.21045,0.261756,-1.5713,0.166758,-0.913164
-2.50855,-0.255665,0.146512,0.0948295,-0.961692
-1.92871,-0.751922,1.66613,0.0236001,-0.962435
-1.59302,-1.16939,2.2772,-0.0466418,-0.916113
-2.30103,-1.45942,1.79786,-0.115627,-0.825597
-3.69263,-1.58788,0.565736,-0.183105,-0.695765
-4.6814,-1.53893,-0.821986,-0.248845,-0.533245
-5.35279,-1.31669,-1.81739,-0.312634,-0.346086
-5.43824,-0.944655,-2.11262,-0.374276,-0.143393
-4.8584,-0.463017,-1.67254,-0.433587,0.0650571
-2.92969,0.0757377,-0.673645,-0.490398,0.269251
-0.10376,0.612613,0.57173,-0.544549,0.459437
3.07007,1.08863,1.68218,-0.595888,0.62661
4.21753,1.45134,2.29077,-0.644273,0.762933
3.35694,1.66062,2.16201,-0.689571,0.862054
1.97754,1.69297,1.30426,-0.731654,0.91935
1.06812,1.5441,0.00156807,-0.770404,0.932098
-0.115967,1.22937,-1.28385,-0.80571,0.8996
-2.09351,0.782069,-2.1065,-0.83747,0.823215
-4.60816,0.249838,-2.22672,-0.86559,0.706289
-6.21949,-0.310563,-1.68876,-0.889988,0.55398
-6.14624,-0.83939,-0.753972,-0.910585,0.372992
-5.09034,-1.2804,0.252605,-0.927315,0.171243
-4.97437,-1.58691,1.07858,-0.940121,-0.0425124
-5.61524,-1.72683,1.59181,-0.948966,-0.259106
-5.74341,-1.68606,1.74569,-0.953834,-0.46937
-4.87671,-1.46992,1.52845,-0.954724,-0.664523
-3.4729,-1.10256,0.958654,-0.951653,-0.83651
-3.88184,-0.624193,0.128844,-0.944655,-0.978314
-5.98755,-0.0867022,-0.759845,-0.933776,-1.08423
-7.15332,0.45215,-1.43487,-0.91908,-1.15007
-6.15845,0.935129,-1.66672,-0.900644,-1.17332
-4.45557,1.31192,-1.3937,-0.878567,-1.15322
-3.51563,1.5447,-0.764959,-0.85297,-1.09074
-4.26636,1.61225,-0.0586161,-0.823999,-0.98852
-4.41895,1.51195,0.478782,-0.791815,-0.850689
-4.05884,1.25967,0.762515,-0.756601,-0.682655
-2.44751,0.887442,0.876775,-0.718549,-0.490835
-1.36719,0.43939,0.954153,-0.677867,-0.282367
-0.8667,-0.0337044,1.02249,-0.634772,-0.0648142
-1.7273,-0.480443,0.948126,-0.589486,0.154148
-3.25318,-0.854765,0.538943,-0.542239,0.367034
-5.21241,-1.12106,-0.255559,-0.493261,0.566833
-5.01099,-1.25777,-1.20398,-0.442781,0.747249
-5.13306,-1.25917,-1.8512,-0.391028,0.902878
-5.05982,-1.13503,-1.77956,-0.338223,1.02935
-4.89502,-0.908446,-0.914545,-0.284585,1.12342
-3.85742,-0.612174,0.350421,-0.230319,1.18307
-1.92871,-0.283944,1.33885,-0.17561,1.20746
-1.15357,0.0385221,1.50351,-0.120618,1.19697
-2.15454,0.322159,0.803053,-0.0654724,1.15305
-3.2959,0.542198,-0.231168,-0.0102703,1.07814
-2.50244,0.684341,-0.822969,0.0449192,0.975541
-1.23901,0.745268,-0.48363,0.100056,0.849182
1.29395,0.731604,0.609946,0.155129,0.703497
2.63062,0.657676,1.67603,0.210156,0.543234
2.23999,0.542468,1.82575,0.265185,0.373291
-0.64087,0.406221,0.684322,0.320296,0.198564
-4.97437,0.2672,-1.28911,0.3756,0.0238011
-7.50733,0.13917,-3.02544,0.43123,-0.146532
-7.75757,0.0300467,-3.49054,0.487342,-0.30837
-5.95703,-0.0581448,-2.33343,0.544107,-0.458138
-2.80762,-0.128151,-0.107322,0.601712,-0.592803
-0.372315,-0.185572,2.07927,0.660353,-0.709888
0.0549317,-0.236596,3.23735,0.720235,-0.807472
-1.13525,-0.285827,3.04221,0.781564,-0.884176
-2.58789,-0.334625,1.9042,0.844533,-0.939152
-2.22168,-0.3803,0.569584,0.909319,-0.972064
-0.97046,-0.416344,-0.417306,0.976077,-0.983064
-0.53711,-0.433683,-0.991889,1.04494,-0.972744
-2.88086,-0.422711,-1.41955,1.11599,-0.942098
-6.70777,-0.375647,-1.89486,1.18931,-0.892466
-8.93555,-0.288749,-2.2559,1.26489,-0.825473
-7.55005,-0.163955,-2.07086,1.3427,-0.742974
-3.36914,-0.00962409,-1.03656,1.42266,-0.647012
-0.134277,0.15988,0.644124,1.50462,-0.539782
0.732422,0.325804,2.24571,1.58835,-0.423599
0.0793458,0.467626,2.93226,1.67358,-0.300863
-0.488282,0.566215,2.3228,1.75994,-0.17402
0.256348,0.60701,0.79017,1.847,-0.0455264
1.11694,0.582643,-0.751073,1.93426,0.082175
1.0437,0.494526,-1.44073,2.02115,0.206673
1.85547,0.353033,-1.03744,2.10702,0.325602
2.87476,0.176226,-0.0499456,2.19116,0.43667
3.6377,-0.0127024,0.655798,2.2728,0.537694
2.03247,-0.188871,0.486183,2.35113,0.626664
-0.292969,-0.32952,-0.466909,2.42524,0.701791
-1.87988,-0.417598,-1.51593,2.49423,0.761567
-1.47095,-0.444508,-1.88686,2.55713,0.804809
0.292969,-0.41151,-1.26701,2.61297,0.830668
1.9043,-0.329477,-0.000281507,2.66075,0.838643
2.99072,-0.216975,1.18719,2.69949,0.828584
3.15552,-0.0969722,1.7038,2.72821,0.800707
2.33154,0.00724214,1.4641,2.74597,0.755599
3.13111,0.0762498,0.862684,2.75184,0.694221
3.57666,0.0980881,0.408867,2.74498,0.617893
4.35791,0.0706348,0.327111,2.72456,0.528285
4.74854,0.00233153,0.426797,2.68989,0.427391
4.05274,-0.0889873,0.315116,2.64032,0.3175
1.94702,-0.179076,-0.241928,2.57535,0.201157
-1.00708,-0.241635,-1.10493,2.49457,0.0811047
-2.87476,-0.253333,-1.85212,2.3977,-0.0397909
-2.39258,-0.198627,-2.08457,2.28461,-0.15862
-1.86157,-0.0734898,-1.69185,2.15529,-0.272502
-1.26343,0.112651,-0.875932,2.00988,-0.378644
-1.72119,0.337212,0.0556611,1.84867,-0.474397
-0.891114,0.567046,0.924126,1.67213,-0.557319
1.17798,0.763077,1.72739,1.48084,-0.625259
4.54712,0.88633,2.46803,1.27558,-0.676434
6.70777,0.90444,2.94224,1.05729,-0.709488
5.70679,0.797619,2.73281,0.827047,-0.723543
1.71509,0.563122,1.48961,0.586083,-0.718257
-2.86255,0.217409,-0.680998,0.335762,-0.693882
-6.7627,-0.204552,-3.04531,0.0775752,-0.651274
-9.11255,-0.652961,-4.50968,-0.186873,-0.591842
-9.97315,-1.06939,-4.23441,-0.455871,-0.517488
-8.45337,-1.39466,-2.21197,-0.727619,-0.430544
-6.30494,-1.57718,0.611084,-1.00024,-0.33374
-5.12696,-1.58076,2.81678,-1.27181,-0.230135
-5.50537,-1.39063,3.34102,-1.54035,-0.123028
-6.91529,-1.01681,2.11986,-1.80388,-0.0158518
-7.57447,-0.494199,0.122633,-2.06038,0.0879347
-6.67115,0.120841,-1.27043,-2.30788,0.184959
-3.03955,0.756992,-1.15405,-2.54443,0.272056
1.22681,1.33683,0.324511,-2.76814,0.346392
4.18091,1.78677,2.06855,-2.97719,0.405569
3.72925,2.04685,2.74411,-3.16987,0.44774
0.158692,2.07886,1.64029,-3.34458,0.471704
-5.60303,1.87186,-0.86505,-3.49985,0.476967
-10.4065,1.4441,-3.51027,-3.63438,0.463761
-11.8897,0.841231,-4.87685,-3.74702,0.433046
-10.2905,0.130909,-4.18374,-3.8368,0.386504
-8.20923,-0.60543,-1.68868,-3.90291,0.326515
-7.4646,-1.28256,1.49481,-3.94479,0.256075
-6.97632,-1.82196,4.00507,-3.96202,0.178648
-5.96314,-2.1614,4.89175,-3.95445,0.0979907
-4.3274,-2.26244,3.9838,-3.92211,0.0179484
-4.74854,-2.11482,1.83757,-3.86529,-0.0577152
-6.55518,-1.73727,-0.622255,-3.78445,-0.125458
-8.54493,-1.17474,-2.53072,-3.6803,-0.182074
-10.0708,-0.492482,-3.37508,-3.55371,-0.224805
-9.04542,0.23208,-3.07615,-3.40579,-0.25148
-5.52979,0.918761,-1.90563,-3.2378,-0.260661
-2.09351,1.49397,-0.333907,-3.05121,-0.251766
-0.775147,1.8989,1.12159,-2.84761,-0.225132
-1.70288,2.09556,2.02546,-2.62875,-0.182015
-2.00806,2.07017,2.13249,-2.3965,-0.124514
-1.08032,1.83353,1.46469,-2.15286,-0.0554811
-0.726319,1.41855,0.322598,-1.89989,0.0215899
-1.89209,0.875443,-0.805512,-1.63976,0.102703
-3.91846,0.265221,-1.43345,-1.37467,0.183552
-3.43018,-0.34752,-1.29946,-1.10685,0.25974
-2.47193,-0.901627,-0.509035,-0.838525,0.327006
-1.45264,-1.3455,0.498217,-0.571917,0.38142
-1.42212,-1.64166,1.16805,-0.309201,0.419556
-2.62451,-1.76947,1.13399,-0.052488,0.43864
-3.38745,-1.72582,0.430799,0.196191,0.436694
-4.09546,-1.52403,-0.519377,0.434908,0.412662
-4.55933,-1.19114,-1.15618,0.661861,0.366505
-4.41895,-0.764301,-1.12187,0.87539,0.299227
-3.37525,-0.286579,-0.479039,1.074,0.212837
-1.80664,0.19733,0.340917,1.25635,0.11027
-1.07422,0.645064,0.830534,1.42131,-0.00471041
-0.726319,1.01993,0.744601,1.56789,-0.127647
-1.15967,1.29342,0.249762,1.6953,-0.253563
-1.25732,1.44674,-0.221732,1.80293,-0.377167
-1.81885,1.47158,-0.30902,1.89037,-0.493072
-0.946045,1.37002,-8.16108E-05,1.9574,-0.596036
-0.0610352,1.15391,0.364713,2.00399,-0.681191
0.0366211,0.84367,0.374895,2.03031,-0.744282
-2.47193,0.46666,-0.09374,2.03672,-0.781875
-5.34058,0.0551002,-0.732411,2.02373,-0.791522
-6.92749,-0.356347,-0.999832,1.99206,-0.771869
-5.70069,-0.733179,-0.542714,1.94256,-0.722716
-2.57569,-1.04368,0.476352,1.87623,-0.645053
-0.915528,-1.2614,1.41353,1.7942,-0.541043
-2.39868,-1.36744,1.5566,1.69771,-0.413939
-6.7627,-1.35221,0.644715,1.58809,-0.267951
-10.0342,-1.21656,-0.880733,1.46676,-0.108083
-9.51539,-0.972014,-2.10163,1.33519,0.0600329
-5.24903,-0.640028,-2.20151,1.19492,0.230321
-1.64185,-0.250261,-1.01463,1.04752,0.396489
-0.238037,0.162006,0.832788,0.894557,0.552287
-0.946045,0.559048,2.29708,0.737613,0.691762
-1.52588,0.904184,2.56455,0.578252,0.809492
-1.22681,1.16526,1.5435,0.418005,0.900801
-0.76294,1.3178,-0.117057,0.258355,0.961957
-1.30615,1.34747,-1.47404,0.10072,0.990326
-2.55737,1.25166,-1.88503,-0.0535597,0.984457
-4.60205,1.03992,-1.35405,-0.203231,0.944106
-4.61426,0.733011,-0.426242,-0.347131,0.870235
-3.74146,0.360845,0.251068,-0.484191,0.765001
-3.99781,-0.0406015,0.368925,-0.613441,0.631725
-6.073,-0.432983,0.0993489,-0.734012,0.474795
-8.34961,-0.77944,-0.121129,-0.845142,0.299522
-7.73926,-1.04823,0.0314515,-0.946183,0.111943
-6.05469,-1.21573,0.522482,-1.0366,-0.0814018
-5.62744,-1.26859,1.00988,-1.11598,-0.273713
-6.49414,-1.20472,1.12365,-1.18402,-0.458168
-7.23877,-1.03316,0.742581,-1.24054,-0.628157
-7.21436,-0.772721,0.061267,-1.28543,-0.77752
-7.76368,-0.44978,-0.580503,-1.31872,-0.900782
-8.88062,-0.0954066,-0.948364,-1.3405,-0.993349
-9.35059,0.257714,-1.0391,-1.35093,-1.05166
-8.77686,0.578342,-0.996253,-1.35025,-1.0733
-7.73316,0.839455,-0.912461,-1.33876,-1.05708
-7.58667,1.02051,-0.709146,-1.31679,-1.00306
-7.49512,1.10892,-0.213104,-1.28472,-0.912607
-6.67725,1.10074,0.626096,-1.24297,-0.788348
-3.96118,1.00049,1.56976,-1.19197,-0.634117
-0.76294,0.820269,2.14625,-1.13218,-0.454852
0.0366211,0.578234,1.93172,-1.06405,-0.256453
-2.771,0.296689,0.868782,-0.988052,-0.0456022
-6.54908,-7.60882E-05,-0.619905,-0.904631,0.170451
-8.22144,-0.287871,-1.83501,-0.81423,0.384121
-6.35987,-0.544468,-2.20639,-0.717283,0.587733
-3.78418,-0.751174,-1.63244,-0.614206,0.773791
-3.4668,-0.894036,-0.522024,-0.505397,0.935244
-4.99878,-0.964615,0.486257,-0.39123,1.06577
-5.92041,-0.960253,0.928279,-0.272061,1.16002
-5.50537,-0.883833,0.765522,-0.148223,1.21382
-4.41895,-0.743162,0.329303,-0.0200356,1.22432
-3.67432,-0.550118,0.0310035,0.112203,1.1901
-2.80762,-0.319657,0.0691626,0.248208,1.11129
-2.06299,-0.0687196,0.339715,0.387704,0.989633
-1.28784,0.184894,0.579745,0.530418,0.828528
-1.18408,0.423615,0.595206,0.676078,0.632946
-0.756836,0.63114,0.380582,0.824406,0.409267
-0.860596,0.793364,0.0560663,0.975122,0.165056
-1.82495,0.899194,-0.284452,1.12793,-0.0912075
-1.7395,0.941166,-0.649911,1.28252,-0.350417
-2.31934,0.915854,-1.07278,1.43855,-0.603147
-3.83301,0.824074,-1.45651,1.59567,-0.839981
-6.14624,0.670902,-1.52467,1.75348,-1.05187
-5.98755,0.4655,-0.976248,1.91153,-1.23048
-2.09961,0.220767,0.234529,2.06933,-1.36857
1.59912,-0.0472271,1.71956,2.22634,-1.46024
2.56348,-0.320051,2.77255,2.38197,-1.50116
0.0793458,-0.577968,2.7641,2.53559,-1.48881
-2.22168,-0.801207,1.57074,2.68652,-1.42258
-3.14942,-0.971366,-0.275676,2.83406,-1.30381
-2.75879,-1.07287,-1.8625,2.97743,-1.13586
-2.11792,-1.09435,-2.44256,3.11584,-0.923946
-1.62354,-1.02986,-1.89052,3.24844,-0.675044
-1.33057,-0.879808,-0.751295,3.37437,-0.397611
-0.97046,-0.651503,0.15992,3.49275,-0.101263
-0.610352,-0.359193,0.330109,3.6027,0.203596
-0.0610352,-0.0235171,-0.109258,3.70334,0.506156
0.872803,0.329679,-0.512926,3.79377,0.795581
3.50952,0.671178,-0.233074,3.87312,1.0614
7.26319,0.970793,0.854707,3.94056,1.2939
10.7727,1.20013,2.19152,3.99526,1.48449
12.5305,1.33543,2.86786,4.03647,1.62603
10.9741,1.36011,2.23158,4.06347,1.71312
7.60499,1.26672,0.361193,4.07564,1.74232
4.40674,1.05818,-1.91739,4.0724,1.71227
3.17993,0.74812,-3.48887,4.0533,1.62375
3.07617,0.360181,-3.59075,4.01796,1.47961
3.2898,-0.0736333,-2.23648,3.96612,1.28467
2.99683,-0.51562,-0.16745,3.89763,1.04564
2.44141,-0.925749,1.61285,3.81245,0.770779
2.39258,-1.26541,2.412,3.71068,0.469643
2.09351,-1.50116,2.17231,3.59253,0.152614
1.06812,-1.60808,1.37195,3.45836,-0.16946
1.04981,-1.57248,0.613967,3.30864,-0.485629
1.7395,-1.3936,0.207089,3.144,-0.785211
1.67236,-1.08413,0.0231147,2.96517,-1.05817
0.0244141,-0.669432,-0.294787,2.77301,-1.29549
-2.22168,-0.185407,-0.951437,2.56849,-1.48951
-2.78931,0.32478,-1.74681,2.35268,-1.63413
-1.34888,0.814703,-2.15725,2.12677,-1.72505
0.12207,1.23902,-1.71071,1.89202,-1.75979
0.500489,1.55772,-0.388947,1.64977,-1.7378
1.51978,1.73995,1.25284,1.40144,-1.66042
2.97241,1.76698,2.37369,1.14849,-1.53078
4.36402,1.63416,2.37485,0.89243,-1.35368
3.87573,1.35153,1.30821,0.634769,-1.13544
1.77612,0.943094,-0.137015,0.377039,-0.883667
-0.354004,0.444804,-1.08743,0.12077,-0.606989
-0.10376,-0.0985851,-1.07788,-0.132528,-0.314682
1.27564,-0.637611,-0.363222,-0.38137,-0.0163254
1.87378,-1.12266,0.288062,-0.624315,0.278542
0.0427246,-1.5086,0.187473,-0.859978,0.56072
-3.22266,-1.759,-0.717728,-1.08705,0.821607
-6.27442,-1.84974,-1.74715,-1.30429,1.05343
-6.08521,-1.77138,-1.95101,-1.51059,1.24942
-2.50244,-1.53031,-0.824753,-1.70493,1.40405
2.68555,-1.14824,1.24023,-1.88642,1.51309
6.48194,-0.660252,3.11817,-2.0543,1.57384
6.0669,-0.111641,3.6426,-2.20795,1.58506
2.80762,0.44631,2.36886,-2.34688,1.54706
-0.213623,0.961156,-0.116065,-2.47075,1.46156
-2.31323,1.38435,-2.54573,-2.57937,1.33168
-0.933838,1.67602,-3.74102,-2.67269,1.16181
0.610352,1.80894,-3.27168,-2.7508,0.957457
1.64795,1.77127,-1.59479,-2.81391,0.725145
0.915528,1.56785,0.35897,-2.86239,0.472224
-0.0244141,1.21967,1.79974,-2.89668,0.206691
0.903321,0.761877,2.4486,-2.91738,-0.0630344
1.92261,0.240138,2.46028,-2.92515,-0.328347
2.56958,-0.293968,2.06453,-2.92077,-0.580706
1.28784,-0.788267,1.29214,-2.90509,-0.811888
-2.02637,-1.19535,0.0350729,-2.87903,-1.01427
-6.73829,-1.47748,-1.63369,-2.84357,-1.18112
-9.97315,-1.61036,-3.2089,-2.79971,-1.30685
-11.1328,-1.5855,-3.87043,-2.7485,-1.38725
-8.46558,-1.41072,-2.97278,-2.69094,-1.41962
-3.30811,-1.10883,-0.580983,-2.62809,-1.40283
0.878907,-0.714766,2.36825,-2.56095,-1.33743
2.67334,-0.271428,4.4721,-2.4905,-1.22565
1.78833,0.175213,4.63075,-2.41768,-1.07136
-0.561524,0.581159,2.70454,-2.34338,-0.880019
-2.22168,0.909017,-0.366907,-2.26841,-0.658479
-3.10669,1.13168,-3.07089,-2.19352,-0.414789
-2.594,1.23464,-4.14684,-2.11937,-0.157946
-0.799561,1.21664,-3.23845,-2.04654,0.102419
1.42212,1.08883,-1.0105,-1.97549,0.356404
2.20337,0.872529,1.2925,-1.90657,0.594228
1.49536,0.595994,2.54874,-1.84005,0.80661
1.08032,0.290666,2.31477,-1.77608,0.985144
0.653077,-0.0126344,0.959525,-1.71472,1.12265
-0.0976563,-0.28699,-0.634823,-1.65596,1.21351
-2.14234,-0.511761,-1.59104,-1.59965,1.25394
-3.07617,-0.673875,-1.48214,-1.5456,1.24224
-1.62964,-0.768012,-0.492376,-1.4935,1.17892
0.402832,-0.795776,0.749721,-1.443,1.06674
1.50757,-0.764105,1.54594,-1.39366,0.910635
0.0549317,-0.683273,1.50222,-1.34503,0.717483
-1.76392,-0.56489,0.70912,-1.29659,0.495888
-2.30713,-0.420236,-0.354856,-1.24782,0.255833
-2.68555,-0.259189,-1.12963,-1.19818,0.00827186
-3.37525,-0.0898778,-1.30345,-1.14714,-0.235373
-3.59497,0.0809805,-0.964941,-1.09417,-0.463771
-2.70386,0.247253,-0.48447,-1.03879,-0.666244
-1.41602,0.402408,-0.209358,-0.980565,-0.833292
-1.77612,0.538736,-0.190252,-0.919099,-0.957061
-3.21655,0.647064,-0.146454,-0.854067,-1.03175
-2.38648,0.717115,0.285027,-0.785211,-1.05391
1.87988,0.738502,1.1862,-0.712359,-1.02267
6.77491,0.702253,2.16089,-0.635431,-0.939746
7.73316,0.602724,2.49521,-0.554441,-0.809439
3.18604,0.439605,1.62125,-0.469506,-0.63844
-2.21558,0.219603,-0.408373,-0.380837,-0.435557
-5.35889,-0.0426977,-2.78137,-0.28875,-0.211322
-4.60816,-0.325176,-4.27898,-0.193658,0.0225052
-2.66724,-0.599803,-3.95633,-0.0960824,0.253517
-0.378418,-0.835443,-1.74498,0.00335685,0.469281
2.17285,-1.00156,1.41405,0.103947,0.657978
3.60108,-1.07238,4.02493,0.204891,0.809028
4.6814,-1.03091,4.83441,0.305316,0.913674
3.53394,-0.872177,3.50736,0.404283,0.965498
